registration,car_make,car_model,car_model_year,color,mileage,price,transmission,fuel_type,condition,location
7444-OXK,Toyota,Paseo,1993,Yellow,158835,454807.24,Manual,Hybrid,Certified Pre-Owned,Boston
1187-HBO,Jaguar,X-Type,2005,Purple,37481,887643.9,Automatic,Hybrid,Certified Pre-Owned,Chicago
1805-YXO,GMC,1500 Club Coupe,1995,Puce,82414,407288.81,Automatic,Diesel,Certified Pre-Owned,Dallas
7706-MWM,Cadillac,Escalade ESV,2012,Fuscia,222247,769936.42,Automatic,Diesel,Certified Pre-Owned,San Francisco
4453-GYQ,Ford,Fiesta,2001,Khaki,427576,500218.13,Automatic,Electric,Certified Pre-Owned,Boston
1798-JSB,Pontiac,Bonneville,1997,Puce,95467,366895.49,Automatic,Gasoline,Certified Pre-Owned,Chicago
6132-BQN,Ford,F150,1995,Red,465464,224159.24,Manual,Electric,Certified Pre-Owned,Dallas
1360-OZB,MINI,Cooper Clubman,2012,Mauv,252575,387717.89,Automatic,Gasoline,Certified Pre-Owned,Los Angeles
6720-RAP,Ford,GT500,2007,Fuscia,256566,869082.76,Automatic,Gasoline,Certified Pre-Owned,Atlanta
4187-DBP,Dodge,Ram,2009,Aquamarine,271291,309472.0,Automatic,Diesel,Certified Pre-Owned,Boston
4805-HSV,Buick,Regal,1998,Goldenrod,255213,778646.5,Manual,Electric,Certified Pre-Owned,Dallas
3802-HLM,Isuzu,Amigo,1993,Orange,419531,58396.32,Manual,Diesel,Certified Pre-Owned,Los Angeles
2180-HWL,Mercedes-Benz,CL-Class,2006,Green,200190,122412.08,Manual,Gasoline,Certified Pre-Owned,Boston
4105-ARM,Mazda,Miata MX-5,2003,Orange,247423,65354.95,Manual,Gasoline,Certified Pre-Owned,New York
2807-GJQ,Lexus,LX,2010,Maroon,439845,933795.68,Manual,Hybrid,Certified Pre-Owned,San Francisco
2628-BRK,Hummer,H2 SUV,2006,Goldenrod,73155,938456.61,Manual,Gasoline,Certified Pre-Owned,Houston
0222-YQF,Land Rover,Freelander,2008,Orange,158731,244859.15,Manual,Gasoline,Certified Pre-Owned,New York
5618-HMM,Chevrolet,Express 3500,2008,Violet,138115,400854.6,Manual,Gasoline,Certified Pre-Owned,New York
4074-NEI,Lexus,SC,2006,Yellow,259316,196777.52,Manual,Electric,Certified Pre-Owned,San Francisco
7937-HFJ,Mercedes-Benz,CL-Class,2001,Puce,169757,523086.45,Automatic,Hybrid,Certified Pre-Owned,Boston
