registration,car_make,car_model,car_model_year,color,mileage,price,transmission,fuel_type,condition,location
1413-ZAA,Mazda,B-Series,1987,Mauv,271263,912703.69,Automatic,Gasoline,New,Miami
8764-ZMB,Rolls-Royce,Phantom,2009,Pink,169061,159948.99,Automatic,Hybrid,New,Miami
6355-EEK,Dodge,Caliber,2009,Khaki,68616,432768.77,Manual,Gasoline,New,San Francisco
7605-MXG,Acura,SLX,1996,Khaki,58191,712745.07,Automatic,Electric,New,Atlanta
4543-GHD,GMC,Safari,2004,Goldenrod,284727,112308.2,Manual,Hybrid,New,Los Angeles
8999-UAE,Ford,Explorer Sport Trac,2007,Indigo,389074,362160.76,Manual,Gasoline,New,New York
3047-QWB,GMC,Envoy XL,2004,Yellow,214108,397881.13,Manual,Electric,New,Houston
7642-MPM,Ford,Crown Victoria,1997,Fuscia,5873,424991.74,Manual,Diesel,New,Chicago
0169-TZT,Chevrolet,Express 1500,2001,Fuscia,43900,167153.1,Manual,Hybrid,New,Dallas
1844-UVI,Chevrolet,Tracker,2003,Violet,23754,196366.33,Manual,Electric,New,New York
5650-LLL,BMW,X5,2002,Goldenrod,54448,272171.59,Manual,Electric,New,Houston
3444-HAO,Pontiac,Bonneville,2003,Orange,112511,630904.35,Automatic,Diesel,New,New York
8092-HMC,Dodge,Caravan,1998,Crimson,263669,777493.28,Manual,Hybrid,New,Chicago
8608-AVQ,BMW,X5,2002,Mauv,418349,230730.3,Manual,Electric,New,San Francisco
5824-YHP,Plymouth,Voyager,1995,Blue,339372,915264.53,Automatic,Hybrid,New,San Francisco
2282-LZL,Alfa Romeo,164,1993,Mauv,400152,366556.93,Automatic,Gasoline,New,Los Angeles
8289-YYY,Volkswagen,New Beetle,2002,Goldenrod,2931,939169.63,Manual,Diesel,New,Houston
8314-KKJ,Nissan,Titan,2006,Purple,461536,780178.22,Manual,Diesel,New,Miami
9650-IDJ,Infiniti,FX,2003,Indigo,486509,522654.46,Automatic,Diesel,New,Atlanta
3074-YSA,Kia,Optima,2009,Violet,445050,28026.82,Manual,Gasoline,New,Seattle
6701-LRS,Jeep,Grand Cherokee,2006,Puce,115199,119736.8,Automatic,Electric,New,New York
1473-GHC,Chevrolet,Silverado 2500,2002,Maroon,114118,669823.13,Manual,Hybrid,New,Los Angeles
4218-ZHB,Nissan,Altima,1994,Fuscia,126343,944849.25,Manual,Electric,New,San Francisco
4461-KOG,Acura,TSX,2012,Crimson,60583,443338.89,Manual,Diesel,New,Atlanta
4532-QGG,Honda,Accord,1991,Purple,241720,704514.12,Manual,Gasoline,New,Chicago
9157-VWT,GMC,Sierra 1500,2006,Mauv,177703,136500.39,Manual,Diesel,New,Chicago
3195-LMT,Chevrolet,2500,1995,Maroon,68346,273104.8,Automatic,Hybrid,New,Boston
3696-PMJ,Infiniti,Q,1994,Blue,193657,866512.25,Automatic,Gasoline,New,Houston
6634-AWZ,Isuzu,Amigo,1998,Green,236153,726525.8,Automatic,Diesel,New,Houston
6379-WVP,Infiniti,I,2000,Goldenrod,283338,132605.8,Manual,Gasoline,New,Dallas
7994-AKY,Mazda,CX-7,2008,Orange,186204,767052.6,Manual,Gasoline,New,Boston
9073-CIG,Chevrolet,Silverado,2006,Khaki,148491,532416.87,Manual,Gasoline,New,Houston
1859-NZB,Ford,F250,1997,Orange,188169,410661.71,Automatic,Electric,New,Miami
1570-SJK,Mercury,Marquis,1986,Green,198274,799135.38,Manual,Diesel,New,Seattle
2157-AKP,Cadillac,DeVille,1997,Turquoise,80255,504752.16,Automatic,Electric,New,Chicago
9928-RIP,Hyundai,Tucson,2012,Violet,246936,907250.84,Manual,Gasoline,New,New York
5308-JWM,Toyota,Land Cruiser,1993,Green,271383,938371.64,Manual,Electric,New,Atlanta
3909-WVK,Oldsmobile,Silhouette,2000,Puce,95205,356965.26,Manual,Hybrid,New,Chicago
3630-HXD,Ford,F350,1996,Red,173186,961754.86,Automatic,Electric,New,Miami
1880-TVT,Pontiac,Grand Prix,1980,Mauv,149724,981411.89,Automatic,Hybrid,New,San Francisco
3394-YAJ,Mazda,RX-7,1983,Turquoise,406196,510090.02,Manual,Electric,New,San Francisco
1972-TSR,Toyota,4Runner,2007,Goldenrod,388006,120528.53,Automatic,Electric,New,New York
9136-ILB,Mercedes-Benz,S-Class,2008,Crimson,309531,147154.36,Automatic,Diesel,New,Atlanta
3624-WNA,Acura,Integra,1997,Green,191635,742783.53,Manual,Electric,New,Boston
3983-VWP,Cadillac,Seville,1994,Fuscia,193200,588701.7,Manual,Hybrid,New,Boston
3256-BMZ,Ford,F350,2002,Maroon,57041,600909.08,Automatic,Gasoline,New,Dallas
9000-SDE,Nissan,Pathfinder,2000,Yellow,27293,956907.93,Manual,Diesel,New,Seattle
9767-FJK,Nissan,Titan,2009,Goldenrod,158188,467863.48,Automatic,Diesel,New,Los Angeles
2441-YQH,Suzuki,Sidekick,1990,Maroon,288897,859913.89,Manual,Gasoline,New,San Francisco
4811-LYK,Ford,Bronco II,1986,Orange,354575,128148.0,Automatic,Hybrid,New,San Francisco
2921-RFG,Ford,Thunderbird,1988,Orange,179398,311363.7,Manual,Electric,New,Chicago
6793-WWZ,Cadillac,DeVille,1995,Puce,378555,83179.4,Automatic,Electric,New,Atlanta
6931-PCB,Pontiac,Grand Am,2001,Maroon,456849,59065.61,Automatic,Diesel,New,Atlanta
8715-BLR,Hummer,H2,2005,Aquamarine,440980,921202.15,Automatic,Diesel,New,Dallas
1733-TMG,Chevrolet,Monte Carlo,2005,Puce,94330,405675.48,Manual,Diesel,New,Atlanta
9858-IXV,BMW,M3,2003,Teal,280879,752647.7,Automatic,Gasoline,New,Los Angeles
3066-QWG,Ferrari,599 GTB Fiorano,2007,Purple,486635,750731.62,Manual,Hybrid,New,Atlanta
0398-QIV,Dodge,Viper,1995,Khaki,66345,727119.22,Manual,Gasoline,New,New York
4254-OEY,Mitsubishi,Galant,2001,Maroon,406347,693351.8,Automatic,Hybrid,New,Boston
2148-NQH,GMC,2500,1995,Yellow,420156,749612.62,Automatic,Diesel,New,San Francisco
6394-KKR,GMC,1500 Club Coupe,1997,Aquamarine,187447,48240.67,Automatic,Diesel,New,San Francisco
9153-CPP,Toyota,Solara,2003,Indigo,344088,334357.37,Automatic,Electric,New,Atlanta
0788-GNE,BMW,7 Series,1993,Khaki,122486,751236.39,Automatic,Diesel,New,Miami
0723-NJU,Kia,Spectra,2007,Green,104515,246317.2,Automatic,Diesel,New,Dallas
5155-YIM,Dodge,Stratus,1996,Puce,321617,508450.83,Automatic,Gasoline,New,New York
2958-XRW,BMW,X3,2007,Blue,459053,819757.61,Automatic,Hybrid,New,Los Angeles
5114-QZO,Plymouth,Sundance,1992,Blue,150647,778837.08,Automatic,Diesel,New,Dallas
8880-VCJ,Jaguar,S-Type,2001,Puce,18768,418002.62,Automatic,Diesel,New,Atlanta
0202-HNG,Honda,Civic,2010,Maroon,29474,879475.1,Automatic,Hybrid,New,Dallas
3814-PMZ,Dodge,D250 Club,1992,Khaki,89644,734813.54,Manual,Diesel,New,Miami
7853-RVR,Volkswagen,Golf,1993,Puce,333820,251952.08,Manual,Diesel,New,Boston
1769-UHM,Mitsubishi,Pajero,1996,Turquoise,217111,582248.39,Automatic,Hybrid,New,Houston
6716-DVN,Honda,Accord,1995,Orange,472739,164701.94,Automatic,Diesel,New,Los Angeles
7122-CZH,Saturn,S-Series,2001,Crimson,167415,508797.1,Automatic,Hybrid,New,Miami
7227-URD,Mazda,929,1991,Teal,348909,769473.84,Manual,Diesel,New,Miami
6099-CNT,Audi,A7,2012,Teal,55222,802074.07,Automatic,Electric,New,New York
5872-RZJ,Lincoln,Mark VIII,1994,Purple,78277,887118.44,Manual,Gasoline,New,New York
1307-PYY,Subaru,Outback,2012,Yellow,496737,626122.34,Automatic,Electric,New,Seattle
0116-PPW,Infiniti,QX,1997,Blue,414691,97039.72,Manual,Diesel,New,San Francisco
7440-HMJ,Kia,Sportage,1996,Red,234853,170452.38,Manual,Diesel,New,Houston
7438-IYF,Chevrolet,Cavalier,1999,Blue,47800,171213.39,Automatic,Electric,New,Houston
4538-SIN,Volkswagen,GTI,2011,Yellow,165367,171262.71,Automatic,Electric,New,Seattle
3032-HOK,BMW,6 Series,1989,Orange,81109,690254.44,Automatic,Gasoline,New,Dallas
3968-MPC,GMC,Envoy,2004,Yellow,235604,899517.84,Manual,Electric,New,Seattle
9522-FZS,Lexus,RX,2012,Goldenrod,387119,495018.78,Manual,Electric,New,Los Angeles
7726-CTU,Kia,Optima,2009,Pink,6611,973794.78,Automatic,Gasoline,New,Houston
