Id,Company,Product,TypeName,Price_euros
1,Apple,MacBook Pro,Ultrabook,1339.69
2,Apple,Macbook Air,Ultrabook,898.94
3,HP,250 G6,Notebook,575
4,Apple,MacBook Pro,Ultrabook,2537.45
5,Apple,MacBook Pro,Ultrabook,1803.6
6,Acer,Aspire 3,Notebook,400
7,Apple,MacBook Pro,Ultrabook,2139.97
8,Apple,Macbook Air,Ultrabook,1158.7
9,Asus,ZenBook UX430UN,Ultrabook,1495
10,Acer,Swift 3,Ultrabook,770
11,HP,250 G6,Notebook,393.9
12,HP,250 G6,Notebook,344.99
13,Apple,MacBook Pro,Ultrabook,2439.97
14,Dell,Inspiron 3567,Notebook,498.9
15,Apple,"MacBook 12""",Ultrabook,1262.4
16,Apple,MacBook Pro,Ultrabook,1518.55
17,Dell,Inspiron 3567,Notebook,745
18,Apple,MacBook Pro,Ultrabook,2858
19,Lenovo,IdeaPad 320-15IKB,Notebook,499
20,Dell,XPS 13,Ultrabook,979
